game_id,vis_team,home_team,vis_score,home_score,OT,Roof,Surface,Temperature,Humidity,Wind_Speed,Vegas_Line,Vegas_Favorite,Over_Under,game_date.x,season,game_date.y,player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,last_300_median_DKP,last_300_median_FDP,last_600_median_DKP,last_600_median_FDP
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,RodgAa00,QB,Aaron Rodgers ,GNB,18,30,203,1,0,5,37,47,91.4,3,8,0,10,0,0,0,0,0,0,1,2,38,36,2,GNB,CHI,0,0,0,0,0,0,12.92,12.92,12.92,12.92,300,5,8,6,6,2,0,0,0,0,61,100,18.06,18.06,18.61,18.61
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,AdamDa01,WR,Davante Adams,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,36,0,11,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,7.6,7.6,5.6,5.6,0,0,0,0,0,0,0,63.2,19,0,59,97,23.3,18.6,21.4,17.75
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,ValdMa00,WR,Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,52,0,47,0,0,1,1,0,1,GNB,CHI,0,0,0,0,0,0,9.2,9.2,7.2,7.2,0,0,0,0,0,0,0,81,2,0,41,67,6.8,5.8,8.85,6.6
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,JoneAa00,RB,Aaron Jones,GNB,0,0,0,0,0,0,0,0,0,13,39,0,9,1,1,0,0,0,0,0,13,13,0,13,GNB,CHI,0,0,0,0,0,0,4.9,4.9,4.4,4.4,0,0,0,0,21,18,1,-1,1,0,37,61,27.3,24.8,27.3,24.8
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,LewiMa00,TE,Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,9,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,3.4,3.4,2.4,2.4,0,0,0,0,0,0,0,21,8,0,33,54,NA,NA,NA,NA
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,GrahJi00,TE,Jimmy Graham,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30,1,16,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,12,12,10.5,10.5,0,0,0,0,0,0,0,58,17,0,33,54,NA,NA,9.5,7
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,WillJa06,RB,Jamaal Williams,GNB,0,0,0,0,0,0,0,0,0,5,0,0,5,2,2,15,0,10,0,0,5,5,0,5,GNB,CHI,0,0,0,0,0,0,3.5,3.5,2.5,2.5,0,0,0,0,0,0,0,-6,21,0,24,39,23.65,21.15,23.65,21.15
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,TonyRo00,TE,Robert Tonyan,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,28,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,3.8,3.8,3.3,3.3,0,0,0,0,0,0,0,19,9,0,19,31,NA,NA,NA,NA
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,DaviTr03,WR,Trevor Davis,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,28,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,3.8,3.8,3.3,3.3,0,0,0,0,0,0,0,18,10,0,17,28,NA,NA,NA,NA
201909050chi,GNB,CHI,10,3,FALSE,outdoors,grass,65,69,10,-3.5,CHI,47,43713,2019,43713,TrubMi00,QB,Mitchell Trubisky ,CHI,26,45,228,0,1,5,20,27,62.1,3,11,0,7,0,0,0,0,0,0,2,1,53,52,1,CHI,GNB,0,0,0,0,0,0,9.22,9.22,8.22,8.22,378,8,17,7,8,3,0,0,0,0,71,100,13.02,11.52,15.72,14.22
